property_id,lat,lng,addr_street,suburb,lga,closet_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,number_of_houses,number_of_units,municipality,aus_born_perc,median_income,median_house_price,population,closest_train_station_id
59709,-37.821973,145.212021,25 Good Governs Street,MITCHAM,PORT PHILLIP,19901,0.349,15.935622317596566,1,5802,3089,Whitehorse,76,1424,1128700,14482,19901.0
18755,-37.68558400000001,144.931742,36 Stanhope Street,BROADMEADOWS,WODONGA,20030,1.105,15.533333333333333,1,4395,1983,Hume,58,762,565700,18510,20030.0
92212,-37.978683,145.06259,3 Salmon Street,MENTONE,WEST WIMMERA,19865,0.42,20.61904761904762,1,4507,3922,Kingston,76,1288,1332300,14158,19865.0
88188,-37.943118,145.051366,30 Isabella Street,MOORABBIN,MANSFIELD,19872,1.022,17.015625,1,2571,1673,Kingston,69,1294,1283800,13081,19872.0
14580,-37.749443,144.89360200000004,51 Bradshaw Street,ESSENDON,NILLUMBIK,20037,2.119,7.5,1,6869,5592,Moonee Valley,81,1571,1550000,22442,20037.0
54582,-37.81536,145.035926,5 Xavier Avenue,HAWTHORN,YARRA,19904,0.681,6.0,1,5753,11459,Boroondara,72,1627,2103800,19166,19904.0
80614,-37.979402,145.226911,1 Garside Street,DANDENONG,CARDINIA,19888,1.912,22.110294117647058,1,8074,9600,Greater Dandenong,48,899,685100,45248,19888.0
91825,-37.981114,145.041254,8 Coreen Avenue,BEAUMARIS,TOWONG,19866,1.989,18.83823529411765,1,5041,1732,Bayside,79,1845,1882800,17536,19866.0
67198,-37.748193,145.337945,2/17 Koombooloomba Court,LILYDALE,FRANKSTON,19876,1.185,26.917525773195877,1,5989,2379,Yarra Ranges,82,1284,908900,13615,19876.0
96780,-38.018338,145.28325700000005,36 Bella Crescent,HALLAM,GLEN EIRA,19885,1.184,26.25,1,3494,1290,Casey,56,1156,724000,9061,19885.0
91813,-37.98449326,145.04125980000003,77 Oak Street,BEAUMARIS,TOWONG,19865,2.118,20.61904761904762,1,5041,1732,Bayside,79,1845,1882800,17536,19865.0
73767,-37.865034,145.296578,5 Enderby Court,BORONIA,TOWONG,19869,1.187,20.794392523364486,1,8285,4281,Knox,79,1162,832500,20314,19869.0
12145,-37.700618,144.759904,103 Delbridge Drive,SYDENHAM,HEPBURN,20000,1.259,16.304347826086957,1,2811,1400,Brimbank,64,1491,658000,27356,20000.0
83264,-37.87783813,145.25032040000005,63 Applewood Drive,KNOXFIELD,SOUTHERN GRAMPIANS,19869,3.565,20.794392523364486,1,2723,1042,Knox,76,1310,909600,6617,19869.0
97086,-38.007408,145.278695,9 Fitzgerald Road,HALLAM,GLEN EIRA,19885,1.391,26.25,1,3494,1290,Casey,56,1156,724000,9061,19885.0
83765,-37.8535613,144.9976646,26 Ann Street,WINDSOR,MAROONDAH,19957,0.567,,0,2201,4448,Stonnington,66,1560,1629600,17776,19957.0
34218,-37.727199,145.023057,2/46 Chaleyer Street,RESERVOIR,EAST GIPPSLAND,20011,1.791,17.166666666666668,1,16913,8713,Darebin,63,972,861800,45591,20011.0
51737,-37.779744,145.10335600000005,90A Ayr Street,DONCASTER,MORELAND,19896,4.421,11.341269841269842,1,7598,4243,Manningham,58,1242,1446200,17447,19896.0
87142,-37.914845,145.007161,814 Hampton Street,BRIGHTON,HUME,19951,0.954,,0,8625,6345,Bayside,77,2200,2483600,20135,19951.0
22674,-37.741506,144.961077,37 Mayfield Street,COBURG,MOONEE VALLEY,19965,0.22,10.909090909090908,1,10323,4557,Moreland,63,1268,1129500,29021,19965.0
13251,-37.70038605,144.7533264,50 Hannah Avenue,HILLSIDE,GREATER DANDENONG,20000,1.839,16.304347826086957,1,4717,798,Melton,64,1491,867300,27356,20000.0
22712,-37.748401,144.974801,39 Glenora Avenue,COBURG,MOONEE VALLEY,19965,1.214,10.909090909090908,1,10323,4557,Moreland,63,1268,1129500,29021,19965.0
56596,-37.856679,145.096931,33 Harrison Avenue,BURWOOD,MARIBYRNONG,19848,1.491,13.0,1,5052,3288,Whitehorse,73,1100,1296800,18501,19848.0
37136,-37.63338140000001,145.0356729,25 Knoll Walk,EPPING,FRANKSTON,20005,2.172,24.90277777777778,1,13368,3047,Whittlesea,73,1283,673200,19624,20005.0
7058,-37.788879,144.83716299999998,84 Monash Street,SUNSHINE,KNOX,20021,0.379,11.08411214953271,1,4031,1779,Brimbank,52,929,883700,30677,20021.0
58539,-37.817405,145.168141,12 Koroit Street,NUNAWADING,STONNINGTON,19899,0.692,14.655339805825243,1,4033,2270,Whitehorse,70,1202,1171100,20796,19899.0
19349,-37.65741,144.933514,18 Pearson Crescent,COOLAROO,COLAC -OTWAY,44817,0.769,17.375,1,1300,237,Hume,57,867,507200,18590,44817.0
35090,-37.714864,144.982652,5 Kelverne Street,RESERVOIR,EAST GIPPSLAND,19962,1.947,12.785714285714286,1,16913,8713,Darebin,63,972,861800,45591,19962.0
44456,-37.70819855,145.0917816,180 Nell Street,GREENSBOROUGH,GLEN EIRA,19984,0.768,19.841726618705035,1,7426,2533,Banyule,83,1524,984000,26045,19984.0
44828,-37.6865,145.115368,3 Emerald Court,GREENSBOROUGH,GLEN EIRA,19985,2.042,22.39189189189189,1,7426,2533,Banyule,83,1524,984000,26045,19985.0
20952,-37.77643,144.95728400000004,287 Brunswick Road,BRUNSWICK,MARIBYRNONG,19969,0.204,7.142857142857143,1,8835,8041,Moreland,62,1433,1265800,20155,19969.0
71083,-37.854079,145.239169,12 Haileybury Court,WANTIRNA,CENTRAL GOLDFIELDS,19870,2.894,19.363636363636363,1,4861,1165,Knox,70,1463,1071300,31889,19870.0
48563,-37.802004,145.035581,55 Cobden Street,KEW,SOUTH GIPPSLAND,19904,2.168,6.0,1,8044,6097,Boroondara,73,2022,2332200,21677,19904.0
51082,-37.793831,145.127877,23 Whittens Lane,DONCASTER,MORELAND,20042,2.883,11.86808510638298,1,7598,4243,Manningham,58,1242,1446200,17447,20042.0
42800,-37.717401,145.06479,12 Brittingham Court,MACLEOD,WANGARATTA,19983,1.032,18.08641975308642,1,3511,1718,Banyule,79,1458,1123400,12063,19983.0
19941,-37.78809357,144.9424744,25 Manningham Street,PARKVILLE,MURRINDINDI,19971,0.277,5.6,1,1058,2943,Melbourne,71,1480,1849500,6692,19971.0
21030,-37.761434,144.954727,31 Sutherland Street,BRUNSWICK,MARIBYRNONG,19967,0.525,8.11111111111111,1,8835,8041,Moreland,62,1433,1265800,20155,19967.0
